,Product,Date Range,Market Price
379,151 Mini Tin Display,9/11 to 9/13,$116.57
380,151 Mini Tin Display,9/14 to 9/16,$118.41
381,151 Mini Tin Display,9/17 to 9/19,$122.70
382,151 Mini Tin Display,9/20 to 9/22,$124.73
383,151 Mini Tin Display,9/23 to 9/25,$124.87
384,151 Mini Tin Display,9/26 to 9/28,$126.19
385,151 Mini Tin Display,9/29 to 10/1,$138.24
386,151 Mini Tin Display,10/2 to 10/4,$139.19
387,151 Mini Tin Display,10/5 to 10/7,$133.33
388,151 Mini Tin Display,10/8 to 10/10,$136.69
389,151 Mini Tin Display,10/11 to 10/13,$135.04
390,151 Pokemon Center Elite Trainer Box (Exclusive),7/16 to 7/18,$0.00
391,151 Pokemon Center Elite Trainer Box (Exclusive),7/19 to 7/21,$0.00
392,151 Pokemon Center Elite Trainer Box (Exclusive),7/22 to 7/24,$0.00
393,151 Pokemon Center Elite Trainer Box (Exclusive),7/25 to 7/27,$0.00
394,151 Pokemon Center Elite Trainer Box (Exclusive),7/28 to 7/30,$0.00
395,151 Pokemon Center Elite Trainer Box (Exclusive),7/31 to 8/2,$0.00
396,151 Pokemon Center Elite Trainer Box (Exclusive),8/3 to 8/5,$0.00
397,151 Pokemon Center Elite Trainer Box (Exclusive),8/6 to 8/8,$0.00
398,151 Pokemon Center Elite Trainer Box (Exclusive),8/9 to 8/11,$0.00
399,151 Pokemon Center Elite Trainer Box (Exclusive),8/12 to 8/14,$0.00
400,151 Pokemon Center Elite Trainer Box (Exclusive),8/15 to 8/17,$0.00
401,151 Pokemon Center Elite Trainer Box (Exclusive),8/18 to 8/20,$0.00
402,151 Pokemon Center Elite Trainer Box (Exclusive),8/21 to 8/23,$0.00
403,151 Pokemon Center Elite Trainer Box (Exclusive),8/24 to 8/26,$0.00
404,151 Pokemon Center Elite Trainer Box (Exclusive),8/27 to 8/29,$150.00
405,151 Pokemon Center Elite Trainer Box (Exclusive),8/30 to 9/1,$150.00
406,151 Pokemon Center Elite Trainer Box (Exclusive),9/2 to 9/4,$150.00
407,151 Pokemon Center Elite Trainer Box (Exclusive),9/5 to 9/7,$150.00
408,151 Pokemon Center Elite Trainer Box (Exclusive),9/8 to 9/10,$150.00
409,151 Pokemon Center Elite Trainer Box (Exclusive),9/11 to 9/13,$150.00
410,151 Pokemon Center Elite Trainer Box (Exclusive),9/14 to 9/16,$156.15
411,151 Pokemon Center Elite Trainer Box (Exclusive),9/17 to 9/19,$164.60
412,151 Pokemon Center Elite Trainer Box (Exclusive),9/20 to 9/22,$126.00
413,151 Pokemon Center Elite Trainer Box (Exclusive),9/23 to 9/25,$102.06
414,151 Pokemon Center Elite Trainer Box (Exclusive),9/26 to 9/28,$106.49
415,151 Pokemon Center Elite Trainer Box (Exclusive),9/29 to 10/1,$109.71
416,151 Pokemon Center Elite Trainer Box (Exclusive),10/2 to 10/4,$109.90
417,151 Pokemon Center Elite Trainer Box (Exclusive),10/5 to 10/7,$112.54
418,151 Pokemon Center Elite Trainer Box (Exclusive),10/8 to 10/10,$112.33
419,151 Pokemon Center Elite Trainer Box (Exclusive),10/11 to 10/13,$108.31
420,151 Poster Collection,7/16 to 7/18,$29.07
421,151 Poster Collection,7/19 to 7/21,$28.96
422,151 Poster Collection,7/22 to 7/24,$28.62
423,151 Poster Collection,7/25 to 7/27,$28.43
424,151 Poster Collection,7/28 to 7/30,$28.16
425,151 Poster Collection,7/31 to 8/2,$27.28
426,151 Poster Collection,8/3 to 8/5,$26.63
427,151 Poster Collection,8/6 to 8/8,$26.34
428,151 Poster Collection,8/9 to 8/11,$25.78
429,151 Poster Collection,8/12 to 8/14,$25.46
430,151 Poster Collection,8/15 to 8/17,$25.05
431,151 Poster Collection,8/18 to 8/20,$24.72
432,151 Poster Collection,8/21 to 8/23,$24.48
433,151 Poster Collection,8/24 to 8/26,$24.28
434,151 Poster Collection,8/27 to 8/29,$23.77
435,151 Poster Collection,8/30 to 9/1,$23.03
436,151 Poster Collection,9/2 to 9/4,$23.16
437,151 Poster Collection,9/5 to 9/7,$23.39
438,151 Poster Collection,9/8 to 9/10,$24.01
439,151 Poster Collection,9/11 to 9/13,$23.80
440,151 Poster Collection,9/14 to 9/16,$23.43
441,151 Poster Collection,9/17 to 9/19,$23.45
442,151 Poster Collection,9/20 to 9/22,$22.40
443,151 Poster Collection,9/23 to 9/25,$22.33
444,151 Poster Collection,9/26 to 9/28,$22.65
445,151 Poster Collection,9/29 to 10/1,$22.99
446,151 Poster Collection,10/2 to 10/4,$22.70
447,151 Poster Collection,10/5 to 10/7,$21.58
448,151 Poster Collection,10/8 to 10/10,$20.99
449,151 Poster Collection,10/11 to 10/13,$20.71
450,151 Poster Collection Case,7/16 to 7/18,$169.94
451,151 Poster Collection Case,7/19 to 7/21,$169.94
452,151 Poster Collection Case,7/22 to 7/24,$169.94
453,151 Poster Collection Case,7/25 to 7/27,$169.94
454,151 Poster Collection Case,7/28 to 7/30,$169.94
455,151 Poster Collection Case,7/31 to 8/2,$169.94
456,151 Poster Collection Case,8/3 to 8/5,$169.94
457,151 Poster Collection Case,8/6 to 8/8,$169.94
458,151 Poster Collection Case,8/9 to 8/11,$169.94
459,151 Poster Collection Case,8/12 to 8/14,$169.94
460,151 Poster Collection Case,8/15 to 8/17,$169.94
461,151 Poster Collection Case,8/18 to 8/20,$169.72
462,151 Poster Collection Case,8/21 to 8/23,$169.61
463,151 Poster Collection Case,8/24 to 8/26,$169.61
464,151 Poster Collection Case,8/27 to 8/29,$169.61
465,151 Poster Collection Case,8/30 to 9/1,$169.61
466,151 Poster Collection Case,9/2 to 9/4,$169.61
